LOG DE RESULTADOS POR FRAME
============================================================
Frame | Sim. Cosseno | Posição X | Posição Y | Área Relativa
0244  | 0.3513       | 0.4384    | 0.5547    | 0.1175
0245  | 0.3711       | 0.4488    | 0.5552    | 0.1184
0246  | 0.5254       | 0.4540    | 0.5557    | 0.1180
0247  | 0.6452       | 0.4557    | 0.5537    | 0.1235
0248  | 0.6728       | 0.4592    | 0.5552    | 0.1239
0249  | 0.6735       | 0.4635    | 0.5586    | 0.1191
0250  | 0.7110       | 0.4653    | 0.5586    | 0.1191
0251  | 0.6988       | 0.4661    | 0.5596    | 0.1196
0252  | 0.7363       | 0.4661    | 0.5596    | 0.1196
0253  | 0.7428       | 0.4670    | 0.5596    | 0.1191
0254  | 0.7653       | 0.4670    | 0.5596    | 0.1191
0255  | 0.7843       | 0.4679    | 0.5591    | 0.1200
0256  | 0.7802       | 0.4688    | 0.5586    | 0.1191
0257  | 0.7855       | 0.4679    | 0.5601    | 0.1189
0258  | 0.7880       | 0.4679    | 0.5596    | 0.1185
0259  | 0.7941       | 0.4679    | 0.5601    | 0.1189
0260  | 0.7964       | 0.4670    | 0.5605    | 0.1188
0261  | 0.7935       | 0.4653    | 0.5620    | 0.1184
0262  | 0.7973       | 0.4635    | 0.5630    | 0.1184
