frame,mode,similarity,match_045,match_060,elapsed_s,fps,frame_saved
214,ATAQUE,0.000000,0,0,12.12,19.4,0
215,ATAQUE,0.000000,0,0,12.18,19.4,1
216,ATAQUE,0.000000,0,0,12.23,19.4,0
217,ATAQUE,0.000000,0,0,12.26,19.4,0
218,ATAQUE,0.000000,0,0,12.32,19.4,0
219,ATAQUE,0.000000,0,0,12.37,19.4,0
220,ATAQUE,0.000000,0,0,12.42,19.0,1
221,ATAQUE,0.000000,0,0,12.48,19.0,0
222,ATAQUE,0.000000,0,0,12.53,19.0,0
223,ATAQUE,0.000000,0,0,12.56,19.0,0
224,ATAQUE,0.000000,0,0,12.62,19.0,0
225,ATAQUE,0.000000,0,0,12.67,19.0,1
226,ATAQUE,0.000000,0,0,12.73,19.0,0
227,ATAQUE,0.000000,0,0,12.75,19.0,0
228,ATAQUE,0.000000,0,0,12.81,19.0,0
229,ATAQUE,0.000000,0,0,12.86,19.0,0
230,ATAQUE,0.000000,0,0,12.89,21.4,1
231,ATAQUE,0.000000,0,0,12.94,21.4,0
232,ATAQUE,0.000000,0,0,13.00,21.4,0
233,ATAQUE,0.000000,0,0,13.05,21.4,0
234,ATAQUE,0.000000,0,0,13.10,21.4,0
235,ATAQUE,0.000000,0,0,13.16,21.4,1
236,ATAQUE,0.000000,0,0,13.21,21.4,0
237,ATAQUE,0.000000,0,0,13.27,21.4,0
238,ATAQUE,0.000000,0,0,13.33,21.4,0
239,ATAQUE,0.000000,0,0,13.38,21.4,0
240,ATAQUE,0.000000,0,0,13.44,18.2,1
241,ATAQUE,0.000000,0,0,13.49,18.2,0
242,ATAQUE,0.000000,0,0,13.52,18.2,0
243,ATAQUE,0.000000,0,0,13.58,18.2,0
244,ATAQUE,0.000000,0,0,13.63,18.2,0
245,ATAQUE,0.000000,0,0,13.66,18.2,1
246,ATAQUE,0.000000,0,0,13.71,18.2,0
247,ATAQUE,0.000000,0,0,13.77,18.2,0
248,ATAQUE,0.000000,0,0,13.82,18.2,0
249,ATAQUE,0.000000,0,0,13.87,18.2,0
250,ATAQUE,0.000000,0,0,13.93,20.6,1
251,ATAQUE,0.000000,0,0,13.97,20.6,0
